sample,H_identity,mean_H_shuffle,min_H_shuffle,max_H_shuffle,fraction_shuffles_lower_than_identity
0,6672.081570828264,17337.198184649136,17143.15550462046,17509.193576411755,0.0
1,6767.178919652546,17507.40531503494,17293.958383199064,17665.085398268366,0.0
2,6452.492068422318,17456.364662352942,17275.381473739108,17627.760719872585,0.0
3,6693.444828345739,17452.535259334458,17221.59536705212,17624.65963978199,0.0
4,6628.171577265188,17400.007073492303,17180.75431840934,17615.384730540994,0.0
5,6452.578003644303,17432.814885305434,17231.220261857303,17621.570398359847,0.0
6,6632.819651707614,17332.018059496586,17165.44144949034,17524.862109606154,0.0
7,6745.457779727756,17502.160887443653,17303.47450440616,17674.460197491055,0.0
8,6710.712630636659,17485.67072179842,17297.28493771973,17649.534525299747,0.0
9,6619.073630234576,17484.646646042318,17268.77307985175,17640.15236110383,0.0
